Date : 2024-07-07 19:22:21
Directory : /home/hhb/YOLO_ORB_SLAM3-master
Total : 7134 files,  2792091 codes, 419361 comments, 314467 blanks, all 3525919 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C++              |      4,751 |  1,315,845 |    294,005 |    245,105 |  1,854,955 |
| XML              |        188 |  1,093,109 |     66,954 |        550 |  1,160,613 |
| C                |        346 |    169,731 |     38,681 |     26,626 |    235,038 |
| YAML             |        125 |     47,431 |      2,957 |      2,163 |     52,551 |
| Markdown         |        420 |     37,720 |        129 |     12,933 |     50,782 |
| Python           |        570 |     33,783 |      4,587 |      7,566 |     45,936 |
| CUDA C++         |        158 |     30,392 |      7,322 |      8,142 |     45,856 |
| Java             |        193 |     24,632 |      2,399 |      5,988 |     33,019 |
| CMake            |        137 |     16,615 |          0 |      2,136 |     18,751 |
| HTML             |         82 |      6,913 |         28 |        501 |      7,442 |
| JavaScript       |         22 |      3,861 |        726 |        765 |      5,352 |
| Objective-C++    |          8 |      3,676 |        933 |        986 |      5,595 |
| BibTeX           |         29 |      2,675 |          0 |        157 |      2,832 |
| JSON             |         14 |      1,745 |          0 |         14 |      1,759 |
| C#               |         15 |        792 |        442 |        199 |      1,433 |
| Objective-C      |         10 |        522 |          0 |         75 |        597 |
| Perl             |          2 |        494 |          4 |         32 |        530 |
| Shell Script     |         23 |        475 |         23 |        110 |        608 |
| Batch            |          6 |        357 |         34 |         74 |        465 |
| Log              |          1 |        322 |          0 |        132 |        454 |
| CSS              |          4 |        281 |          3 |         44 |        328 |
| PowerShell       |          1 |        277 |         52 |         54 |        383 |
| Diff             |          4 |         95 |          5 |          8 |        108 |
| HLSL             |          4 |         78 |         26 |         28 |        132 |
| Makefile         |          7 |         71 |          4 |         24 |         99 |
| TeX              |          1 |         49 |          0 |          5 |         54 |
| Groovy           |          1 |         44 |          5 |          8 |         57 |
| reStructuredText |          4 |         38 |         15 |         24 |         77 |
| Clojure          |          3 |         30 |          3 |          7 |         40 |
| Lua              |          1 |         20 |          0 |          0 |         20 |
| Docker           |          1 |         11 |          0 |          3 |         14 |
| Properties       |          3 |          7 |         24 |          8 |         39 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                           |      7,134 |  2,792,091 |    419,361 |    314,467 |  3,525,919 |
| . (Files)                                                                                                                                                                                   |          9 |     79,811 |         95 |        117 |     80,023 |
| Examples                                                                                                                                                                                    |         72 |      7,801 |      1,929 |      2,337 |     12,067 |
| Examples (Files)                                                                                                                                                                            |          1 |          1 |          0 |          0 |          1 |
| Examples/Calibration                                                                                                                                                                        |          4 |        520 |         85 |        144 |        749 |
| Examples/Calibration (Files)                                                                                                                                                                |          2 |        381 |         79 |        112 |        572 |
| Examples/Calibration/python_scripts                                                                                                                                                         |          1 |        134 |          6 |         30 |        170 |
| Examples/Calibration/recorder_empty                                                                                                                                                         |          1 |          5 |          0 |          2 |          7 |
| Examples/Monocular                                                                                                                                                                          |         16 |      1,201 |        393 |        395 |      1,989 |
| Examples/Monocular-Inertial                                                                                                                                                                 |          9 |      1,267 |        281 |        370 |      1,918 |
| Examples/RGB-D                                                                                                                                                                              |          8 |        608 |        236 |        222 |      1,066 |
| Examples/RGB-D-Inertial                                                                                                                                                                     |          2 |        422 |         93 |        127 |        642 |
| Examples/ROS                                                                                                                                                                                |         11 |      1,329 |        212 |        341 |      1,882 |
| Examples/ROS/YOLO_ORB_SLAM3                                                                                                                                                                 |         11 |      1,329 |        212 |        341 |      1,882 |
| Examples/ROS/YOLO_ORB_SLAM3 (Files)                                                                                                                                                         |          2 |         44 |         22 |         21 |         87 |
| Examples/ROS/YOLO_ORB_SLAM3/launch                                                                                                                                                          |          1 |          4 |          0 |          2 |          6 |
| Examples/ROS/YOLO_ORB_SLAM3/src                                                                                                                                                             |          8 |      1,281 |        190 |        318 |      1,789 |
| Examples/ROS/YOLO_ORB_SLAM3/src (Files)                                                                                                                                                     |          5 |        624 |        105 |        132 |        861 |
| Examples/ROS/YOLO_ORB_SLAM3/src/AR                                                                                                                                                          |          3 |        657 |         85 |        186 |        928 |
| Examples/Stereo                                                                                                                                                                             |         12 |      1,082 |        335 |        346 |      1,763 |
| Examples/Stereo-Inertial                                                                                                                                                                    |          9 |      1,371 |        294 |        392 |      2,057 |
| Examples_old                                                                                                                                                                                |         99 |      8,849 |      2,954 |      2,780 |     14,583 |
| Examples_old (Files)                                                                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| Examples_old/Monocular                                                                                                                                                                      |         27 |      1,533 |        679 |        586 |      2,798 |
| Examples_old/Monocular (Files)                                                                                                                                                              |         16 |      1,195 |        401 |        388 |      1,984 |
| Examples_old/Monocular-Inertial                                                                                                                                                             |         20 |      1,745 |        616 |        586 |      2,947 |
| Examples_old/Monocular-Inertial (Files)                                                                                                                                                     |          9 |      1,264 |        305 |        366 |      1,935 |
| Examples_old/Monocular-Inertial/MultiSession                                                                                                                                                |         11 |        481 |        311 |        220 |      1,012 |
| Examples_old/Monocular/MultiSession                                                                                                                                                         |         11 |        338 |        278 |        198 |        814 |
| Examples_old/RGB-D                                                                                                                                                                          |          6 |        549 |        200 |        192 |        941 |
| Examples_old/RGB-D-Inertial                                                                                                                                                                 |          2 |        422 |         96 |        129 |        647 |
| Examples_old/Stereo                                                                                                                                                                         |         23 |      2,070 |        704 |        620 |      3,394 |
| Examples_old/Stereo (Files)                                                                                                                                                                 |         12 |      1,215 |        360 |        367 |      1,942 |
| Examples_old/Stereo-Inertial                                                                                                                                                                |         20 |      2,529 |        659 |        667 |      3,855 |
| Examples_old/Stereo-Inertial (Files)                                                                                                                                                        |          9 |      1,487 |        293 |        403 |      2,183 |
| Examples_old/Stereo-Inertial/MultiSession                                                                                                                                                   |         11 |      1,042 |        366 |        264 |      1,672 |
| Examples_old/Stereo/MultiSession                                                                                                                                                            |         11 |        855 |        344 |        253 |      1,452 |
| Thirdparty                                                                                                                                                                                  |      6,615 |  2,666,039 |    410,090 |    302,103 |  3,378,232 |
| Thirdparty/DBoW2                                                                                                                                                                            |         12 |      1,690 |        822 |        632 |      3,144 |
| Thirdparty/DBoW2/DBoW2                                                                                                                                                                      |         10 |      1,545 |        717 |        567 |      2,829 |
| Thirdparty/DBoW2/DUtils                                                                                                                                                                     |          2 |        145 |        105 |         65 |        315 |
| Thirdparty/OpenCv 4.2.0                                                                                                                                                                     |      4,307 |  1,991,517 |    298,405 |    224,694 |  2,514,616 |
| Thirdparty/OpenCv 4.2.0 (Files)                                                                                                                                                             |          3 |         79 |          0 |         21 |        100 |
| Thirdparty/OpenCv 4.2.0/3rdparty                                                                                                                                                            |      1,081 |    426,528 |    110,980 |     73,398 |    610,906 |
| Thirdparty/OpenCv 4.2.0/3rdparty/carotene                                                                                                                                                   |         60 |     31,916 |      3,379 |      4,399 |     39,694 |
| Thirdparty/OpenCv 4.2.0/3rdparty/carotene (Files)                                                                                                                                           |          1 |          2 |          0 |          1 |          3 |
| Thirdparty/OpenCv 4.2.0/3rdparty/carotene/hal                                                                                                                                               |          1 |      1,632 |        100 |        122 |      1,854 |
| Thirdparty/OpenCv 4.2.0/3rdparty/carotene/include                                                                                                                                           |          3 |      1,676 |        574 |        417 |      2,667 |
| Thirdparty/OpenCv 4.2.0/3rdparty/carotene/include/carotene                                                                                                                                  |          3 |      1,676 |        574 |        417 |      2,667 |
| Thirdparty/OpenCv 4.2.0/3rdparty/carotene/src                                                                                                                                               |         55 |     28,606 |      2,705 |      3,859 |     35,170 |
| Thirdparty/OpenCv 4.2.0/3rdparty/cpufeatures                                                                                                                                                |          3 |        856 |        651 |        156 |      1,663 |
| Thirdparty/OpenCv 4.2.0/3rdparty/ffmpeg                                                                                                                                                     |          1 |         38 |          0 |          7 |         45 |
| Thirdparty/OpenCv 4.2.0/3rdparty/include                                                                                                                                                    |         26 |     20,360 |      2,131 |      3,180 |     25,671 |
| Thirdparty/OpenCv 4.2.0/3rdparty/include/opencl                                                                                                                                             |         12 |     12,517 |      1,840 |      1,651 |     16,008 |
| Thirdparty/OpenCv 4.2.0/3rdparty/include/opencl/1.2                                                                                                                                         |         12 |     12,517 |      1,840 |      1,651 |     16,008 |
| Thirdparty/OpenCv 4.2.0/3rdparty/include/opencl/1.2/CL                                                                                                                                      |         12 |     12,517 |      1,840 |      1,651 |     16,008 |
| Thirdparty/OpenCv 4.2.0/3rdparty/include/vulkan                                                                                                                                             |         14 |      7,843 |        291 |      1,529 |      9,663 |
| Thirdparty/OpenCv 4.2.0/3rdparty/ippicv                                                                                                                                                     |          1 |         53 |          0 |          4 |         57 |
| Thirdparty/OpenCv 4.2.0/3rdparty/ittnotify                                                                                                                                                  |         11 |      5,346 |      2,777 |        809 |      8,932 |
| Thirdparty/OpenCv 4.2.0/3rdparty/ittnotify/include                                                                                                                                          |          5 |      3,310 |      2,346 |        517 |      6,173 |
| Thirdparty/OpenCv 4.2.0/3rdparty/ittnotify/include (Files)                                                                                                                                  |          4 |      2,656 |      2,045 |        432 |      5,133 |
| Thirdparty/OpenCv 4.2.0/3rdparty/ittnotify/include/legacy                                                                                                                                   |          1 |        654 |        301 |         85 |      1,040 |
| Thirdparty/OpenCv 4.2.0/3rdparty/ittnotify/src                                                                                                                                              |          6 |      2,036 |        431 |        292 |      2,759 |
| Thirdparty/OpenCv 4.2.0/3rdparty/ittnotify/src/ittnotify                                                                                                                                    |          6 |      2,036 |        431 |        292 |      2,759 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libjasper                                                                                                                                                  |         79 |     23,097 |      8,285 |      4,499 |     35,881 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libjasper (Files)                                                                                                                                          |         60 |     21,616 |      6,445 |      3,792 |     31,853 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libjasper/jasper                                                                                                                                           |         19 |      1,481 |      1,840 |        707 |      4,028 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libjpeg                                                                                                                                                    |         57 |     22,616 |      8,857 |      5,435 |     36,908 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libjpeg-turbo                                                                                                                                              |         78 |     24,702 |      8,426 |      4,735 |     37,863 |
| Thirdparty/OpenCv 4.2.0/3rdparty/libjpeg-turbo (Files)                                                                                                                                      |          2 |        367 |          0 |        113 |        480 |
